BOTTOM 20
('to', 'was'): 0.00452281887290437
('an', 'the'): 0.004437254639565345
('the', 'not'): 0.0035998551739640757
(',', ';'): 0.003576342270066064
('of', 'for'): 0.00336077203219181
('he', 'of'): 0.0033400047982266533
('of', 'he'): 0.0033400047982266533
('the', 'i'): 0.003213658472496977
('of', 'to'): 0.00243828777532442
('his', 'the'): 0.002372117260144996
('a', 'in'): 0.0023462608881666906
('the', 'is'): 0.001641639366106874
('the', 'in'): 0.001555545048692355
('and', 'and'): 0.0013948325822340764
('the', 'and'): 0.0011503366964942564
('the', ','): 0.0011379526418194802
('of', 'of'): 0.0008758202189791302
('and', '.'): 0.0008155697421310705
('the', 'a'): 0.0007154702458277383
('the', '.'): 0.00033630552328404306
